Responden_ID,Jenis_Kelamin,Umur,Aplikasi,SUS_Score,UEQ_Daya_Tarik,UEQ_Kejelasan,UEQ_Efisiensi,UEQ_Ketepatan,UEQ_Stimulasi,UEQ_Kebaruan
001,L,49,SIGNAL,57.8,0.7,-0.2,1.1,-0.5,0.8,0.3
002,P,49,SIGNAL,99.0,1.9,0.9,-0.6,-0.5,0.9,-1.1
003,L,21,SIGNAL,120.0,0.1,0.5,0.7,0.0,0.8,-1.5
004,L,47,SIGNAL,90.9,1.9,0.2,0.2,-0.3,1.1,0.7
005,L,54,SIGNAL,78.3,2.4,1.6,0.5,1.8,-0.9,0.3
006,P,40,SIGNAL,78.2,-0.7,1.4,1.4,-0.7,0.4,0.6
007,L,32,SIGNAL,80.8,1.8,-0.4,-0.1,1.1,1.1,1.3
008,L,46,SIGNAL,53.9,1.1,2.1,1.2,-0.4,1.1,0.8
009,L,53,SIGNAL,88.1,0.7,0.7,-0.0,1.6,1.8,-0.9
010,P,30,SIGNAL,70.4,0.5,1.6,-0.3,1.9,1.3,-0.2
011,L,49,SIGNAL,91.0,1.7,1.0,1.9,0.4,2.5,1.7
012,L,24,SIGNAL,74.7,1.2,2.5,-0.9,1.6,-0.0,1.2
013,L,39,SIGNAL,72.0,1.8,1.6,-1.2,-1.0,0.3,0.4
014,L,45,SIGNAL,61.0,2.2,1.5,1.2,1.5,0.3,-0.6
015,P,19,SIGNAL,67.3,1.2,1.7,-1.3,-0.3,0.6,-0.4
016,L,23,SIGNAL,81.6,2.4,-0.5,1.4,1.7,1.9,1.1
017,P,45,SIGNAL,60.8,1.1,-0.3,0.0,-1.0,-0.2,1.5
018,P,45,SIGNAL,52.6,1.2,1.5,1.7,0.7,1.7,0.8
019,P,37,SIGNAL,66.2,0.9,0.7,1.0,1.3,0.4,1.3
020,L,47,SIGNAL,86.6,-0.7,1.6,0.6,-0.2,1.1,1.2
021,P,28,SIGNAL,97.9,1.5,-0.6,1.8,-0.4,1.2,-1.0
022,L,45,SIGNAL,68.4,0.9,0.9,-0.1,-0.7,0.3,-0.0
023,P,42,SIGNAL,57.9,0.6,0.3,1.8,-0.0,0.8,-1.0
024,P,50,SIGNAL,72.4,2.2,0.6,-1.0,0.7,0.4,-0.7
025,P,18,SIGNAL,78.7,0.0,1.1,0.2,-0.7,-0.8,1.5
026,P,44,SIGNAL,83.4,0.8,0.8,-0.6,0.1,0.5,0.2
027,P,30,SIGNAL,99.0,1.4,0.9,0.4,-1.0,-0.7,0.4
028,P,20,SIGNAL,79.2,1.8,0.7,-0.9,1.5,0.4,-0.9
029,P,23,SIGNAL,96.4,0.6,0.4,1.4,-0.6,1.1,-0.4
030,P,25,SIGNAL,70.9,1.9,1.7,1.5,-0.1,1.0,-0.7
031,L,44,SIGNAL,77.5,1.7,-1.0,1.8,-0.9,1.3,-0.8
032,L,26,SIGNAL,69.4,-0.8,1.1,-1.0,0.3,-0.7,0.7
033,P,54,SIGNAL,68.3,-0.8,1.0,0.7,1.5,1.3,-0.6
034,P,50,SIGNAL,73.3,1.2,1.5,0.2,0.2,0.1,0.7
035,P,41,SIGNAL,73.1,0.2,1.1,-0.3,-0.5,0.4,-1.3
036,L,32,SIGNAL,69.3,-0.3,1.9,-0.3,1.3,2.0,-1.0
037,P,49,SIGNAL,69.9,1.0,2.4,-0.1,1.4,-1.0,-0.5
038,L,49,SIGNAL,89.7,0.2,0.2,1.0,-0.5,1.1,0.6
039,L,41,SIGNAL,99.0,0.9,-0.2,0.6,1.3,1.1,0.9
040,L,29,SIGNAL,70.5,0.6,0.5,0.1,1.8,0.4,0.0
041,L,19,SIGNAL,72.6,1.0,0.0,-1.2,-0.5,-0.2,0.1
042,L,20,SIGNAL,82.8,0.4,1.2,-1.2,1.3,-0.2,1.0
043,P,54,SIGNAL,99.0,1.4,2.2,-1.5,1.1,2.1,-1.4
044,P,34,SIGNAL,77.5,-0.4,-0.5,1.9,0.4,0.5,-0.3
045,P,19,SIGNAL,88.2,1.4,-0.6,-1.5,-0.8,0.2,1.4
046,P,19,SIGNAL,95.0,0.4,-0.1,-1.1,-0.8,0.6,0.6
047,P,45,SIGNAL,80.6,2.1,1.5,-0.4,1.6,1.3,-0.3
048,L,40,SIGNAL,87.6,0.8,1.1,1.3,2.0,-0.5,1.7
049,P,54,SIGNAL,83.8,2.4,-0.6,1.9,1.0,0.6,1.2
050,P,49,SIGNAL,88.9,1.1,2.2,1.3,0.3,1.1,-0.6
051,L,50,SIGNAL,64.1,-0.2,1.8,0.9,0.9,2.3,0.8
052,P,18,SIGNAL,79.0,1.9,-0.9,0.3,0.8,-0.1,0.6
053,L,36,SIGNAL,82.3,0.2,1.3,-1.2,0.2,0.3,-0.1
054,P,19,SIGNAL,82.1,0.2,1.7,1.9,-0.8,0.3,-0.2
055,L,43,SIGNAL,90.1,-0.9,0.3,1.2,1.5,1.1,-0.3
056,P,49,SIGNAL,81.9,0.9,-0.8,0.7,0.1,0.2,0.7
057,P,23,SIGNAL,62.8,0.9,-0.7,1.2,1.5,0.9,0.0
058,L,49,SIGNAL,83.6,0.2,-0.6,1.0,-0.2,1.7,1.4
059,L,21,SIGNAL,65.9,2.1,1.9,0.7,-1.0,1.5,0.8
060,L,28,SIGNAL,68.1,-0.5,2.2,1.9,-0.5,0.6,-1.3
061,L,34,SIGNAL,71.5,0.2,-0.6,1.7,0.4,2.0,0.7
062,L,41,SIGNAL,75.2,0.1,-0.2,0.8,1.8,1.0,-0.6
063,L,22,SIGNAL,58.0,-0.7,-0.4,0.9,-0.7,0.9,0.6
064,L,51,SIGNAL,89.9,0.7,-0.3,-1.3,1.6,-0.9,0.9
065,L,23,SIGNAL,62.6,1.4,1.9,0.8,0.6,2.5,-0.7
066,P,39,SIGNAL,95.3,0.8,0.2,-1.3,1.5,-0.6,0.1
067,P,28,SIGNAL,63.0,-0.5,0.1,0.6,-0.1,-0.2,-0.8
068,L,33,SIGNAL,91.9,0.3,-0.2,2.0,1.5,-0.8,-1.3
069,P,50,SIGNAL,76.2,-1.0,1.1,0.4,1.3,1.2,-0.2
070,P,26,SIGNAL,55.9,2.0,0.3,0.2,-0.3,-0.2,-0.2
071,P,23,SIGNAL,64.0,-0.7,1.6,-0.4,-0.6,-0.4,2.0
072,P,33,SIGNAL,92.4,1.1,-0.3,-1.1,1.6,-0.7,0.1
073,L,46,SIGNAL,81.9,2.5,1.8,1.1,1.9,-0.6,-0.3
074,P,20,SIGNAL,75.6,0.9,1.1,-0.8,-0.9,1.0,0.5
075,L,37,SIGNAL,49.9,2.2,-0.6,-1.1,1.2,1.4,-1.2
076,P,53,SIGNAL,93.2,-0.2,0.5,-0.0,1.7,0.4,1.9
077,P,36,SIGNAL,98.9,1.7,2.0,1.3,1.6,0.7,0.7
078,P,43,SIGNAL,96.8,0.9,2.2,1.1,1.9,1.4,1.1
079,L,20,SIGNAL,69.1,1.5,0.6,-1.3,1.3,-0.9,-0.9
080,P,36,SIGNAL,81.1,-0.8,0.7,0.1,0.3,0.1,-0.1
081,L,37,SIGNAL,82.4,-0.5,2.2,0.3,-0.1,2.4,-0.0
082,P,49,SIGNAL,58.2,-0.5,1.1,0.8,-0.0,1.0,1.4
083,L,24,SIGNAL,78.7,1.4,-0.9,0.8,1.2,-0.1,-1.5
084,P,50,SIGNAL,89.4,2.0,2.2,-0.2,1.2,0.8,-0.4
085,L,35,SIGNAL,85.7,1.6,-0.1,0.5,-0.4,0.2,1.9
086,L,18,SIGNAL,63.2,-0.9,1.0,0.2,1.6,0.9,0.2
087,P,28,SIGNAL,66.1,2.0,-0.4,1.6,1.1,-0.6,-0.2
088,L,45,SIGNAL,86.0,0.2,-0.9,0.4,0.7,-0.5,-1.1
089,P,42,SIGNAL,84.1,0.4,0.1,0.0,0.4,-0.5,1.9
090,P,40,SIGNAL,49.5,-0.6,1.7,-0.1,0.6,2.3,-1.4
091,P,48,SIGNAL,47.0,1.6,-0.0,0.5,-0.5,1.6,1.1
092,P,47,SIGNAL,75.6,-0.4,-0.2,1.3,-0.4,-0.4,1.2
093,P,52,SIGNAL,69.4,1.0,-0.3,0.4,-0.7,-0.3,-0.6
094,P,24,SIGNAL,72.9,1.9,0.8,0.8,-0.5,1.6,0.9
095,P,33,SIGNAL,71.6,-0.7,2.4,1.1,0.4,-0.5,-1.2
096,P,43,SIGNAL,88.3,0.9,0.6,0.3,0.6,-0.2,-0.6
097,P,19,SIGNAL,77.7,-0.2,1.0,-0.0,-0.9,2.4,1.3
098,P,18,SIGNAL,79.7,0.2,2.0,1.6,1.4,-0.1,1.5
099,P,29,SIGNAL,,,0.9,,-0.1,1.3,0.6
100,L,22,SIGNAL,,,-0.4,,1.7,2.4,0.3
101,L,54,New Sakpole,81.5,1.3,0.0,2.0,1.9,0.3,-0.9
102,P,49,New Sakpole,93.7,0.7,0.1,-1.5,-0.4,-0.9,-1.3
103,P,26,New Sakpole,63.9,1.0,0.4,-0.9,0.4,-0.1,-1.1
104,P,52,New Sakpole,71.0,1.6,0.5,-0.2,-1.0,1.9,-0.7
105,P,36,New Sakpole,71.9,1.0,1.8,1.8,0.8,2.0,-0.3
106,P,33,New Sakpole,88.1,1.1,0.2,-1.3,0.8,1.7,-0.2
107,P,20,New Sakpole,78.7,1.0,0.6,-1.5,-0.3,-0.6,-0.3
108,P,37,New Sakpole,74.0,0.3,1.2,-1.3,0.7,1.8,-0.7
109,P,41,New Sakpole,68.7,0.2,0.3,-1.2,-0.3,2.2,0.3
110,L,50,New Sakpole,68.7,2.1,1.9,-1.4,-0.5,1.1,1.4
111,P,41,New Sakpole,50.7,1.1,1.1,0.2,1.0,2.3,-0.5
112,L,28,New Sakpole,63.4,-0.1,0.0,0.5,-0.0,1.9,1.8
113,P,25,New Sakpole,78.6,0.7,1.5,-0.5,0.8,1.3,1.6
114,P,53,New Sakpole,65.2,0.2,0.8,-0.1,0.3,1.0,-0.9
115,L,37,New Sakpole,68.5,2.3,0.9,-1.2,2.0,0.2,1.3
116,P,52,New Sakpole,53.9,-1.0,0.7,-0.3,-0.6,-0.4,0.5
117,L,42,New Sakpole,73.3,-0.2,0.7,0.3,0.4,1.1,0.5
118,P,52,New Sakpole,50.5,0.3,1.7,1.1,1.0,0.1,-0.1
119,P,42,New Sakpole,71.5,0.7,-0.6,-1.5,0.2,2.0,0.3
120,L,46,New Sakpole,65.8,2.0,0.2,0.1,1.9,2.5,-0.1
121,P,35,New Sakpole,47.1,-0.7,-0.7,-0.5,1.2,1.6,0.4
